input,dfs-nonpriority,dfs-priority,bfs,dfs-nonpriority,dfs-priority,bfs
board1,133,51,125,1261,946,22,2126,1078,2196
board2,20,24,73,1123,757,23,1166,798,2579
board3,26,64,307,1423,2526,10,1425,2528,7159
board4,9,17,45,549,991,13,555,1000,1803
board5,3,1,8,123,75,11,133,82,369
board6,7,19,45,387,967,16,406,1031,1636
board7,70,91,567,4709,5334,11,4711,5379,11941
board8,48,58,126,2904,1901,11,2928,2324,4050
board9,15,6,127,770,361,11,778,363,3386
board10,3,2,4,128,123,23,150,147,184
board11,19,14,36,885,707,23,926,769,1282
board12,25,23,57,1508,1142,23,1579,1310,1638
board13,55,48,143,2640,3217,24,2692,3326,4136
board14,26,26,40,914,909,24,1147,1226,1352
board15,76,24,52,1103,1421,24,1924,1490,1858
board16,37,57,131,1476,1198,24,1545,1851,4452
board17,11,38,122,703,1332,24,717,1493,4335
board18,7,5,29,418,343,24,438,351,873
board19,654,813,1873,34542,31363,24,36209,35118,39653
board20,6,6,36,341,343,24,354,378,1388
